地域,～19歳,20歳～24歳,25歳～29歳,30歳～34歳,35歳～39歳,40歳～44歳,45歳～49歳,50歳～54歳,55歳～59歳,60歳～64歳,65歳～69歳,70歳～
北海道,0.83,1.51,1.97,2.03,2.02,2.30,2.16,2.34,2.29,1.19,0.71,0.93
青森県,0.46,1.40,2.09,2.15,2.14,2.37,2.21,2.09,2.52,1.59,2.14,1.15
岩手県,0.54,1.83,2.20,2.28,2.31,2.44,2.28,2.38,2.34,1.80,1.57,1.15
宮城県,0.42,1.20,2.04,2.01,2.24,2.45,2.56,2.49,2.54,1.69,0.97,1.59
秋田県,0.08,1.60,1.95,2.10,2.13,2.39,2.31,2.37,2.25,1.46,1.05,0.59
山形県,0.44,1.60,2.00,2.06,2.02,2.27,2.25,2.13,2.26,1.57,0.80,1.42
福島県,0.44,1.30,2.02,1.88,2.12,2.39,2.34,2.61,2.36,1.65,1.39,1.35
茨城県,0.61,1.76,2.26,2.01,2.47,2.73,2.35,2.54,1.97,1.60,1.32,1.71
栃木県,0.81,1.72,2.33,2.11,2.32,2.26,2.43,2.48,2.54,1.79,1.01,1.88
群馬県,1.33,1.75,2.03,1.98,2.24,2.21,2.37,2.57,2.27,1.45,2.16,0.89
埼玉県,1.20,1.39,2.05,2.27,2.18,2.27,2.30,2.21,2.04,1.78,0.96,1.42
千葉県,0.49,1.35,2.13,1.82,2.04,2.18,2.37,2.26,2.17,1.87,1.73,1.40
東京都,0.58,1.09,2.17,2.61,2.69,2.66,2.77,2.81,2.77,2.21,1.18,0.83
神奈川県,0.58,1.26,2.34,2.28,2.37,2.22,2.27,2.28,2.20,1.75,0.92,0.90
新潟県,0.65,1.62,2.28,2.22,2.38,2.36,2.54,2.46,2.11,1.93,1.14,1.49
富山県,0.49,1.84,2.25,2.22,2.21,2.62,2.88,2.68,2.66,2.11,1.37,1.19
石川県,0.65,1.82,2.24,2.07,2.40,2.49,2.60,2.68,2.85,2.13,1.61,1.23
福井県,1.26,1.64,2.30,2.47,2.36,3.04,2.74,2.76,2.74,1.88,1.49,0.58
山梨県,0.61,1.38,2.36,2.32,2.35,2.35,2.48,2.20,2.22,2.23,1.25,1.15
長野県,0.41,1.67,2.24,1.95,2.15,2.12,2.57,2.45,2.35,1.57,1.01,1.07
岐阜県,0.72,1.94,2.63,2.35,2.56,2.53,2.75,2.40,2.77,2.25,1.14,0.87
静岡県,0.47,1.71,2.33,2.37,2.43,2.48,2.75,2.54,2.59,1.85,1.18,2.08
愛知県,0.52,1.73,2.86,2.91,2.74,2.71,2.61,2.61,2.63,1.97,1.72,1.29
三重県,0.77,1.48,2.01,2.06,2.18,2.16,2.42,2.21,2.26,1.69,1.17,1.06
滋賀県,0.68,1.62,2.30,2.38,2.03,2.48,2.50,2.75,2.48,1.75,1.38,1.02
京都府,0.14,1.19,1.79,1.78,1.89,2.14,2.34,2.17,2.48,1.56,1.31,0.77
大阪府,0.89,1.63,2.29,2.03,2.49,2.52,2.42,2.42,2.52,2.01,1.20,1.61
兵庫県,0.16,1.46,2.32,2.20,2.30,2.20,2.52,2.23,2.22,1.86,1.27,1.44
奈良県,0.76,1.34,2.02,2.05,1.83,2.39,2.39,2.27,2.35,1.94,2.31,1.48
和歌山県,0.92,1.75,2.58,2.26,2.31,2.62,2.73,2.51,2.44,1.81,1.04,1.55
鳥取県,0.62,1.43,1.86,1.76,2.06,2.48,2.44,2.23,2.14,1.80,1.33,2.14
島根県,0.32,1.56,2.25,2.40,2.59,2.53,2.59,2.69,2.55,1.74,1.85,0.72
岡山県,0.93,1.67,2.12,2.11,2.33,2.24,2.64,2.51,2.63,1.70,0.96,0.79
広島県,0.63,1.29,2.56,2.37,2.31,2.46,2.44,2.70,3.01,2.10,1.46,1.84
山口県,0.70,1.77,2.41,2.68,2.38,2.43,2.18,2.39,2.34,2.09,1.56,1.44
徳島県,0.36,1.46,1.89,2.02,2.37,2.56,2.43,2.62,2.49,1.43,1.46,1.72
香川県,0.30,1.52,2.10,2.31,2.46,2.39,2.46,2.38,2.45,1.84,1.23,0.49
愛媛県,0.87,1.40,1.97,2.15,1.98,2.05,2.41,2.36,1.77,1.42,1.22,1.64
高知県,0.72,1.63,2.04,2.22,2.22,2.53,2.67,2.46,2.97,2.56,1.93,4.31
福岡県,0.72,1.45,2.09,2.21,2.38,2.42,2.55,2.72,2.70,1.86,1.51,1.08
佐賀県,0.47,1.83,2.08,2.30,2.27,2.63,2.87,2.48,2.39,1.56,1.42,1.01
長崎県,0.44,1.79,2.01,2.13,1.91,2.32,2.43,2.42,2.25,1.39,1.18,0.48
熊本県,0.48,1.71,2.11,2.11,2.37,2.56,3.04,2.72,2.56,1.53,1.55,1.72
大分県,0.47,1.64,2.51,2.18,1.99,2.45,2.63,2.49,2.45,2.31,2.24,0.91
宮崎県,0.79,1.77,2.03,1.98,2.16,2.30,2.52,2.37,2.17,1.70,0.95,0.69
鹿児島県,0.85,1.62,2.10,2.20,2.19,2.61,2.56,2.57,2.19,1.54,1.27,0.88
沖縄県,0.10,1.08,1.30,1.45,1.69,1.82,2.10,1.77,2.12,1.27,1.56,1.21
