地域,～19歳,20歳～24歳,25歳～29歳,30歳～34歳,35歳～39歳,40歳～44歳,45歳～49歳,50歳～54歳,55歳～59歳,60歳～64歳
北海道,0.84,2.00,2.24,2.52,2.41,2.74,2.71,2.74,2.60,1.83,0.96,0.92
青森県,0.53,1.71,2.23,2.33,2.53,2.43,2.68,2.47,2.48,1.84,0.85,0.59
岩手県,0.77,2.06,2.43,2.50,2.50,2.51,2.65,2.77,2.53,1.94,1.78,1.53
宮城県,0.84,1.69,2.39,2.54,2.55,2.84,2.89,3.05,2.68,2.21,1.27,0.60
秋田県,0.82,2.11,2.44,2.66,2.52,2.50,2.14,2.70,2.69,2.30,1.05,0.96
山形県,0.40,1.91,2.22,2.26,2.34,2.71,2.70,2.69,2.61,2.00,1.52,0.76
福島県,0.75,1.89,2.38,2.35,2.42,2.56,2.46,2.45,2.34,1.66,1.15,0.72
茨城県,0.67,1.82,2.34,2.69,2.79,2.89,3.07,3.24,3.14,2.17,1.21,0.85
栃木県,0.83,1.92,2.47,2.48,2.69,2.85,2.96,3.00,3.01,1.94,1.10,1.03
群馬県,0.52,1.82,2.27,2.77,2.85,2.76,3.01,3.02,2.71,2.26,1.21,0.56
埼玉県,1.05,1.54,2.11,2.30,2.46,2.48,2.56,2.55,2.74,2.08,1.16,0.57
千葉県,0.61,1.43,2.33,2.46,2.42,2.50,2.79,2.84,2.86,2.24,1.40,1.07
東京都,0.97,1.34,2.41,2.84,2.93,3.00,3.11,3.36,3.40,2.63,1.16,0.62
神奈川県,0.89,1.57,2.47,2.77,2.89,3.02,2.96,3.03,3.07,2.32,1.38,0.66
新潟県,1.30,2.08,2.55,2.60,2.70,2.71,2.73,2.68,2.65,1.94,1.18,0.90
富山県,1.04,1.96,2.35,2.56,2.58,2.72,2.71,2.74,2.81,2.28,1.38,1.03
石川県,1.04,1.95,2.63,2.93,2.77,2.87,2.86,2.94,2.93,2.12,1.37,1.13
福井県,1.11,1.88,2.27,2.67,2.86,2.98,2.89,3.00,3.11,2.59,1.40,1.08
山梨県,0.53,1.64,2.38,2.49,2.50,2.64,2.73,2.86,2.96,1.80,0.87,0.54
長野県,0.50,1.92,2.40,2.45,2.74,2.98,2.92,2.93,2.77,2.27,1.48,0.66
岐阜県,0.91,1.97,2.47,2.68,2.82,2.84,2.97,2.97,3.00,2.36,1.65,1.10
静岡県,1.10,1.85,2.53,2.72,3.10,3.10,3.32,3.35,3.38,2.46,1.27,0.92
愛知県,0.76,2.29,2.66,2.88,3.03,3.31,3.34,3.49,3.40,2.68,1.63,1.41
三重県,0.78,1.69,2.21,2.45,2.71,2.67,2.94,2.92,2.87,1.86,1.37,0.86
滋賀県,0.81,2.07,2.55,2.75,2.95,3.01,3.16,3.28,3.05,2.34,0.87,0.67
京都府,0.44,1.36,2.21,2.36,2.53,2.44,2.75,2.71,2.88,2.09,1.55,0.42
大阪府,1.00,1.46,2.41,2.56,2.83,2.93,3.07,3.31,3.28,2.71,1.43,0.77
兵庫県,0.57,1.71,2.35,2.55,2.81,2.97,2.99,3.14,3.25,2.24,1.19,0.70
奈良県,0.63,1.48,2.37,2.63,2.50,2.62,2.67,2.82,2.80,2.18,1.29,0.72
和歌山県,0.63,1.86,2.16,2.52,2.48,2.70,2.72,2.95,2.97,2.27,1.47,0.62
鳥取県,0.38,1.81,2.22,2.32,2.25,2.32,2.35,2.58,2.52,1.95,1.42,1.02
島根県,0.33,1.61,2.20,2.23,2.45,2.59,2.84,2.77,2.68,1.95,1.05,1.04
岡山県,0.84,1.96,2.33,2.56,2.72,2.76,2.89,2.90,2.82,2.40,1.12,0.58
広島県,0.69,2.00,2.45,2.93,3.00,3.00,3.24,3.51,3.04,2.51,1.67,0.95
山口県,0.77,2.29,2.45,2.76,2.62,2.80,2.89,3.08,3.04,2.29,1.61,1.50
徳島県,0.52,2.23,2.71,2.51,2.75,3.08,3.14,3.13,3.17,1.85,1.16,1.30
香川県,0.80,1.96,2.47,2.79,2.73,2.70,2.81,2.99,2.73,1.98,1.23,1.19
愛媛県,0.99,1.54,2.23,2.35,2.61,2.60,2.86,2.98,2.80,2.16,1.35,1.10
高知県,0.78,1.69,2.31,2.50,2.59,2.48,2.76,2.64,2.59,2.08,1.74,1.35
福岡県,0.80,1.49,2.26,2.59,2.62,2.83,2.90,3.09,2.96,2.31,1.71,0.88
佐賀県,0.93,2.37,2.35,2.61,2.65,2.72,2.81,2.94,2.94,1.98,1.30,1.10
長崎県,0.48,1.88,2.07,2.39,2.51,2.49,2.91,3.00,2.67,1.92,0.95,0.64
熊本県,0.79,1.72,2.34,2.70,2.72,2.71,2.93,2.76,2.75,1.76,1.16,0.61
大分県,0.74,2.25,2.52,2.42,2.68,2.94,3.13,3.02,2.73,2.02,1.19,1.33
宮崎県,0.75,1.96,2.36,2.48,2.51,2.43,2.65,2.82,2.45,1.83,1.47,0.73
鹿児島県,0.86,1.77,2.23,2.38,2.57,2.61,2.66,2.52,2.64,1.96,1.31,1.35
沖縄県,0.71,1.51,1.78,1.80,2.01,2.03,2.10,2.28,2.11,1.52,0.61,0.40
