地域,最終学歴,～19歳,20歳～24歳,25歳～29歳,30歳～34歳,35歳～39歳,40歳～44歳,45歳～49歳,50歳～54歳,55歳～59歳,60歳～64歳,65歳～69歳,70歳～
北海道,中卒,0.015,0.023,0.038,0.050,0.056,0.048,0.056,0.060,0.064,0.101,0.208,0.293
北海道,高卒,0.081,0.353,0.358,0.390,0.415,0.451,0.507,0.574,0.607,0.588,0.589,0.569
北海道,短大・高専卒,0.000,0.208,0.298,0.309,0.317,0.344,0.323,0.284,0.260,0.238,0.154,0.105
北海道,大卒,0.000,0.115,0.277,0.230,0.194,0.142,0.102,0.074,0.063,0.069,0.047,0.031
北海道,大学院卒,0.000,0.001,0.013,0.015,0.014,0.012,0.010,0.007,0.005,0.003,0.002,0.001
北海道,在学中,0.904,0.300,0.016,0.006,0.004,0.003,0.002,0.002,0.001,0.001,0.000,0.000
青森県,中卒,0.012,0.029,0.047,0.052,0.054,0.047,0.055,0.065,0.064,0.132,0.307,0.422
青森県,高卒,0.085,0.414,0.449,0.475,0.507,0.534,0.578,0.660,0.678,0.618,0.530,0.463
青森県,短大・高専卒,0.000,0.160,0.247,0.258,0.261,0.270,0.253,0.195,0.187,0.177,0.119,0.088
青森県,大卒,0.000,0.099,0.233,0.198,0.164,0.137,0.105,0.074,0.066,0.070,0.042,0.026
青森県,大学院卒,0.000,0.000,0.008,0.011,0.011,0.009,0.007,0.005,0.004,0.002,0.001,0.001
青森県,在学中,0.903,0.298,0.015,0.006,0.005,0.003,0.002,0.001,0.001,0.000,0.000,0.000
岩手県,中卒,0.012,0.022,0.037,0.041,0.044,0.038,0.044,0.057,0.061,0.118,0.249,0.351
岩手県,高卒,0.080,0.399,0.421,0.461,0.489,0.511,0.568,0.624,0.628,0.595,0.555,0.505
岩手県,短大・高専卒,0.000,0.196,0.279,0.283,0.290,0.300,0.262,0.223,0.228,0.208,0.143,0.110
岩手県,大卒,0.000,0.109,0.240,0.200,0.162,0.139,0.116,0.090,0.079,0.076,0.051,0.034
岩手県,大学院卒,0.000,0.001,0.008,0.011,0.012,0.010,0.009,0.006,0.004,0.003,0.002,0.001
岩手県,在学中,0.908,0.273,0.014,0.004,0.003,0.002,0.001,0.001,0.001,0.000,0.000,0.000
宮城県,中卒,0.013,0.019,0.030,0.037,0.042,0.036,0.039,0.042,0.040,0.072,0.166,0.231
宮城県,高卒,0.081,0.323,0.350,0.395,0.436,0.472,0.526,0.591,0.626,0.621,0.619,0.604
宮城県,短大・高専卒,0.000,0.161,0.225,0.239,0.262,0.292,0.281,0.239,0.218,0.193,0.136,0.107
宮城県,大卒,0.000,0.141,0.356,0.303,0.238,0.183,0.141,0.118,0.108,0.109,0.076,0.056
宮城県,大学院卒,0.000,0.001,0.015,0.019,0.018,0.015,0.012,0.008,0.007,0.004,0.002,0.002
宮城県,在学中,0.906,0.354,0.023,0.007,0.003,0.002,0.002,0.001,0.001,0.001,0.000,0.000
秋田県,中卒,0.010,0.024,0.034,0.039,0.040,0.032,0.041,0.038,0.041,0.082,0.187,0.293
秋田県,高卒,0.083,0.398,0.407,0.459,0.488,0.523,0.593,0.657,0.668,0.655,0.647,0.593
秋田県,短大・高専卒,0.000,0.204,0.278,0.285,0.298,0.305,0.254,0.216,0.214,0.192,0.121,0.087
秋田県,大卒,0.000,0.112,0.258,0.203,0.161,0.130,0.102,0.083,0.073,0.069,0.044,0.027
秋田県,大学院卒,0.000,0.001,0.012,0.010,0.010,0.009,0.009,0.006,0.003,0.002,0.001,0.001
秋田県,在学中,0.907,0.261,0.011,0.004,0.002,0.001,0.001,0.001,0.001,0.000,0.000,0.000
山形県,中卒,0.011,0.021,0.031,0.037,0.042,0.032,0.033,0.030,0.029,0.061,0.165,0.264
山形県,高卒,0.078,0.381,0.397,0.435,0.471,0.504,0.576,0.656,0.662,0.647,0.651,0.607
山形県,短大・高専卒,0.000,0.192,0.267,0.281,0.291,0.301,0.265,0.216,0.222,0.209,0.131,0.092
山形県,大卒,0.000,0.116,0.282,0.231,0.180,0.150,0.116,0.092,0.083,0.081,0.052,0.036
山形県,大学院卒,0.000,0.001,0.012,0.013,0.014,0.012,0.009,0.005,0.003,0.002,0.001,0.001
山形県,在学中,0.912,0.291,0.011,0.004,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000
福島県,中卒,0.011,0.025,0.035,0.047,0.049,0.048,0.048,0.049,0.055,0.113,0.225,0.300
福島県,高卒,0.090,0.435,0.431,0.467,0.496,0.515,0.564,0.622,0.633,0.600,0.593,0.573
福島県,短大・高専卒,0.000,0.199,0.264,0.269,0.277,0.291,0.270,0.235,0.233,0.206,0.133,0.093
福島県,大卒,0.000,0.103,0.247,0.203,0.164,0.135,0.110,0.088,0.076,0.077,0.048,0.033
福島県,大学院卒,0.000,0.001,0.011,0.011,0.011,0.009,0.006,0.005,0.003,0.003,0.001,0.001
福島県,在学中,0.899,0.238,0.011,0.004,0.002,0.002,0.002,0.001,0.001,0.000,0.000,0.000
