年齢,性別,140 [cm],145 [cm],150 [cm],155 [cm],160 [cm],165 [cm],170 [cm],175 [cm],180 [cm],185 [cm],190 [cm]
20歳～29歳,男,0.000,0.000,0.005,0.033,0.122,0.254,0.298,0.197,0.073,0.015,0.002
30歳～39歳,男,0.000,0.000,0.001,0.017,0.100,0.274,0.345,0.201,0.022,0.004,0.000
40歳～49歳,男,0.000,0.000,0.002,0.021,0.108,0.267,0.329,0.202,0.024,0.005,0.001
50歳～59歳,男,0.000,0.000,0.006,0.043,0.158,0.300,0.296,0.152,0.016,0.003,0.000
60歳～69歳,男,0.000,0.000,0.018,0.089,0.236,0.323,0.230,0.085,0.007,0.001,0.000
20歳～29歳,女,0.009,0.069,0.233,0.356,0.245,0.076,0.011,0.001,0.000,0.000,0.000
30歳～39歳,女,0.008,0.060,0.212,0.348,0.264,0.092,0.015,0.001,0.000,0.000,0.000
40歳～49歳,女,0.007,0.059,0.216,0.355,0.262,0.087,0.013,0.001,0.000,0.000,0.000
50歳～59歳,女,0.010,0.081,0.265,0.367,0.216,0.054,0.006,0.000,0.000,0.000,0.000
60歳～69歳,女,0.050,0.184,0.328,0.284,0.119,0.024,0.002,0.000,0.000,0.000,0.000
