地域,暮らし,～19歳,20歳～24歳,25歳～29歳,30歳～34歳,35歳～39歳,40歳～44歳,45歳～49歳,50歳～54歳,55歳～59歳,60歳～64歳,65歳～69歳,70歳～
北海道,実家暮らし,0.022,0.138,0.418,0.641,0.731,0.756,0.742,0.730,0.747,0.787,0.809,0.836
北海道,一人暮らし,0.978,0.862,0.582,0.359,0.269,0.244,0.258,0.270,0.253,0.213,0.191,0.164
青森県,実家暮らし,0.015,0.144,0.529,0.735,0.809,0.819,0.802,0.788,0.804,0.814,0.818,0.860
青森県,一人暮らし,0.985,0.856,0.471,0.265,0.191,0.181,0.198,0.212,0.196,0.186,0.182,0.140
岩手県,実家暮らし,0.015,0.150,0.488,0.711,0.791,0.804,0.789,0.775,0.788,0.810,0.825,0.867
岩手県,一人暮らし,0.985,0.850,0.512,0.289,0.209,0.196,0.211,0.225,0.212,0.190,0.175,0.133
宮城県,実家暮らし,0.016,0.111,0.429,0.681,0.775,0.797,0.777,0.759,0.775,0.807,0.831,0.869
宮城県,一人暮らし,0.984,0.889,0.571,0.319,0.225,0.203,0.223,0.241,0.225,0.193,0.169,0.131
秋田県,実家暮らし,0.011,0.142,0.507,0.759,0.819,0.846,0.829,0.815,0.817,0.834,0.839,0.878
秋田県,一人暮らし,0.989,0.858,0.493,0.241,0.181,0.154,0.171,0.185,0.183,0.166,0.161,0.122
山形県,実家暮らし,0.010,0.123,0.523,0.761,0.827,0.847,0.835,0.815,0.829,0.849,0.854,0.891
山形県,一人暮らし,0.990,0.877,0.477,0.239,0.173,0.153,0.165,0.185,0.171,0.151,0.146,0.109
福島県,実家暮らし,0.025,0.171,0.482,0.705,0.791,0.800,0.776,0.757,0.780,0.809,0.825,0.860
福島県,一人暮らし,0.975,0.829,0.518,0.295,0.209,0.200,0.224,0.243,0.220,0.191,0.175,0.140
茨城県,実家暮らし,0.026,0.147,0.413,0.666,0.776,0.811,0.804,0.788,0.800,0.822,0.837,0.862
茨城県,一人暮らし,0.974,0.853,0.587,0.334,0.224,0.189,0.196,0.212,0.200,0.178,0.163,0.138
栃木県,実家暮らし,0.032,0.159,0.413,0.679,0.782,0.811,0.803,0.786,0.794,0.816,0.829,0.858
栃木県,一人暮らし,0.968,0.841,0.587,0.321,0.218,0.189,0.197,0.214,0.206,0.184,0.171,0.142
群馬県,実家暮らし,0.023,0.152,0.448,0.690,0.785,0.821,0.817,0.804,0.807,0.817,0.830,0.853
群馬県,一人暮らし,0.977,0.848,0.552,0.310,0.215,0.179,0.183,0.196,0.193,0.183,0.170,0.147
埼玉県,実家暮らし,0.038,0.158,0.435,0.669,0.768,0.801,0.796,0.789,0.794,0.806,0.814,0.850
埼玉県,一人暮らし,0.962,0.842,0.565,0.331,0.232,0.199,0.204,0.211,0.206,0.194,0.186,0.150
千葉県,実家暮らし,0.025,0.135,0.396,0.646,0.751,0.788,0.783,0.779,0.788,0.800,0.814,0.848
千葉県,一人暮らし,0.975,0.865,0.604,0.354,0.249,0.212,0.217,0.221,0.212,0.200,0.186,0.152
東京都,実家暮らし,0.021,0.076,0.261,0.503,0.634,0.690,0.702,0.705,0.712,0.729,0.732,0.780
東京都,一人暮らし,0.979,0.924,0.739,0.497,0.366,0.310,0.298,0.295,0.288,0.271,0.268,0.220
神奈川県,実家暮らし,0.026,0.116,0.358,0.613,0.723,0.770,0.768,0.764,0.773,0.788,0.795,0.835
神奈川県,一人暮らし,0.974,0.884,0.642,0.387,0.277,0.230,0.232,0.236,0.227,0.212,0.205,0.165
新潟県,実家暮らし,0.012,0.133,0.494,0.740,0.820,0.840,0.823,0.801,0.809,0.826,0.834,0.880
新潟県,一人暮らし,0.988,0.867,0.506,0.260,0.180,0.160,0.177,0.199,0.191,0.174,0.166,0.120
富山県,実家暮らし,0.011,0.112,0.460,0.730,0.825,0.849,0.842,0.826,0.832,0.851,0.859,0.890
富山県,一人暮らし,0.989,0.888,0.540,0.270,0.175,0.151,0.158,0.174,0.168,0.149,0.141,0.110
石川県,実家暮らし,0.011,0.092,0.468,0.715,0.806,0.830,0.816,0.793,0.806,0.834,0.847,0.878
石川県,一人暮らし,0.989,0.908,0.532,0.285,0.194,0.170,0.184,0.207,0.194,0.166,0.153,0.122
福井県,実家暮らし,0.028,0.132,0.500,0.731,0.815,0.840,0.825,0.809,0.819,0.850,0.858,0.886
福井県,一人暮らし,0.972,0.868,0.500,0.269,0.185,0.160,0.175,0.191,0.181,0.150,0.142,0.114
山梨県,実家暮らし,0.019,0.133,0.477,0.736,0.810,0.839,0.828,0.808,0.815,0.831,0.829,0.852
山梨県,一人暮らし,0.981,0.867,0.523,0.264,0.190,0.161,0.172,0.192,0.185,0.169,0.171,0.148
長野県,実家暮らし,0.021,0.145,0.465,0.727,0.814,0.838,0.827,0.811,0.814,0.832,0.840,0.872
長野県,一人暮らし,0.979,0.855,0.535,0.273,0.186,0.162,0.173,0.189,0.186,0.168,0.160,0.128
岐阜県,実家暮らし,0.028,0.163,0.485,0.737,0.836,0.856,0.851,0.839,0.846,0.856,0.867,0.886
岐阜県,一人暮らし,0.972,0.837,0.515,0.263,0.164,0.144,0.149,0.161,0.154,0.144,0.133,0.114
静岡県,実家暮らし,0.024,0.143,0.425,0.689,0.787,0.813,0.801,0.786,0.796,0.810,0.823,0.863
静岡県,一人暮らし,0.976,0.857,0.575,0.311,0.213,0.187,0.199,0.214,0.204,0.190,0.177,0.137
愛知県,実家暮らし,0.024,0.132,0.408,0.660,0.759,0.793,0.789,0.781,0.792,0.809,0.818,0.856
愛知県,一人暮らし,0.976,0.868,0.592,0.340,0.241,0.207,0.211,0.219,0.208,0.191,0.182,0.144
三重県,実家暮らし,0.038,0.150,0.422,0.690,0.788,0.811,0.805,0.790,0.808,0.836,0.848,0.866
三重県,一人暮らし,0.962,0.850,0.578,0.310,0.212,0.189,0.195,0.210,0.192,0.164,0.152,0.134
滋賀県,実家暮らし,0.022,0.117,0.438,0.717,0.811,0.839,0.827,0.813,0.823,0.849,0.864,0.882
滋賀県,一人暮らし,0.978,0.883,0.562,0.283,0.189,0.161,0.173,0.187,0.177,0.151,0.136,0.118
京都府,実家暮らし,0.011,0.087,0.388,0.656,0.763,0.799,0.803,0.787,0.792,0.807,0.806,0.838
