地域,全年齢,～19歳,20歳～24歳,25歳～29歳,30歳～34歳,35歳～39歳,40歳～44歳,45歳～49歳,50歳～54歳,55歳～59歳,60歳～64歳,65歳～69歳,70歳～
北海道,804940,374016,91983,63280,43141,36050,35167,38228,31301,24853,17857,15237,29974
青森県,178389,87864,18449,13000,9520,8441,7999,8048,6509,4864,3707,2943,6709
岩手県,174023,88893,18260,13104,8973,7654,7141,6881,5734,4189,3182,2729,6182
宮城県,365461,182113,47639,30909,20818,16862,15013,14176,10544,7450,5178,4229,9364
秋田県,124384,61863,12365,9050,6870,5982,5479,5204,4182,3274,2314,1979,4874
山形県,147588,79664,16779,11349,7842,5968,5326,4898,3754,2781,2010,1727,4041
福島県,259110,139843,28255,20060,13447,10647,9563,9366,7134,5367,4179,3509,8031
茨城県,418509,226041,52109,33749,22337,17234,15695,15948,11053,7075,4630,4033,9078
栃木県,283865,152670,33741,22737,15387,11708,10531,10628,7563,4902,3535,3007,7301
群馬県,291990,152995,36174,23312,14719,11512,10839,11315,8268,5864,3939,3439,9518
埼玉県,1158369,584664,161048,109002,63598,47523,44173,49027,35633,21566,12900,10546,26200
千葉県,987408,495463,135112,89994,53809,41507,38162,40875,29850,18848,11791,9613,24124
東京都,2433585,1034862,329639,262954,160011,115434,103019,111130,90315,63371,40431,33122,95522
神奈川県,1491925,729905,210240,140115,80742,60639,56267,61985,47566,30701,18891,15072,41513
新潟県,320857,164884,36828,25802,17485,13638,13018,12624,9751,6768,4582,3992,9670
富山県,144529,77491,18080,12136,7330,5596,5645,5943,4043,2510,1507,1138,3133
石川県,172639,92531,23057,14093,8621,6476,6439,6559,4636,2861,1816,1282,3847
福井県,111144,62853,13501,9271,5757,4108,3673,3622,2347,1567,1002,789,2255
山梨県,119226,63905,15327,9563,5839,4496,4038,4227,3368,2387,1678,1471,3505
長野県,297626,162373,33040,23673,14795,11125,10764,11006,8401,5742,4084,3213,9118
岐阜県,294178,163426,39470,23847,13861,10135,9602,10028,7324,4829,2861,2355,6475
静岡県,542973,288757,63648,43824,27513,20454,19042,20880,16489,11392,7447,5878,14783
愛知県,1194083,647831,166531,106025,57839,41703,39129,41484,30404,19411,11563,8903,25686
三重県,259903,142813,33318,21323,12524,9512,8957,9251,6639,4447,2784,2256,6590
滋賀県,222463,127717,29882,17780,10706,7837,7432,6891,4760,2917,1888,1407,3800
京都府,430949,202075,62452,36564,23050,18213,17593,18778,14359,9779,6101,5274,16549
大阪府,1477635,701988,199277,132903,80597,61235,59574,67285,52659,35209,21542,18350,51260
兵庫県,877362,449681,112839,71099,44000,35064,34148,36815,28564,19544,12578,10187,28398
奈良県,211454,106579,28717,17789,11156,8697,8272,8764,6556,4146,2654,2267,5668
和歌山県,136769,70211,15303,10334,7217,5643,5217,5639,4524,3264,2147,1877,5048
鳥取県,83547,45030,9175,6382,4326,3502,3310,3049,2237,1622,1140,968,2590
島根県,94700,53361,10070,7051,4555,3573,3319,3239,2417,1692,1246,1054,2948
岡山県,291839,156881,38765,23367,14815,11496,10664,11543,8066,5323,3397,2598,7450
広島県,436212,232857,53839,34304,21094,16233,15976,17510,13265,8439,5562,4352,11632
山口県,195898,102648,22210,13514,9018,7735,7856,8015,6233,4467,3122,2803,7896
徳島県,102240,53572,11986,7646,5598,4589,4239,4432,3262,2249,1527,1422,3505
香川県,138836,76756,15410,10505,7070,5515,5448,5546,3901,2538,1711,1469,4049
愛媛県,197246,102273,20574,14055,9718,8019,7784,8625,6586,5004,3596,3177,8298
高知県,106129,50542,10520,7163,5398,4682,4730,5037,3992,3039,2357,2166,6341
福岡県,881595,445262,107812,72876,47181,37912,35122,34745,27299,19451,14462,13039,32386
佐賀県,132240,72055,15107,9678,6475,5230,4786,4518,3619,2710,2113,1879,4305
長崎県,209662,107585,21001,14260,9876,8493,8122,8556,7146,5781,4543,4243,9609
熊本県,282385,150621,30830,20696,13567,11133,10213,10119,8337,6603,5069,4538,11483
大分県,170408,89684,18380,12087,8267,7024,7019,6862,5400,3943,2926,2460,6657
宮崎県,163832,91648,15933,10864,7721,6250,5906,5898,4802,3783,2809,2489,6189
鹿児島県,250515,136970,24898,17619,12382,10166,9347,9306,7864,6049,4637,3978,10588
沖縄県,275822,158111,28188,20160,13753,10297,8682,9103,7368,5519,4489,4151,7532
