地域,～19歳,20歳～24歳,25歳～29歳,30歳～34歳,35歳～39歳,40歳～44歳,45歳～49歳,50歳～54歳,55歳～59歳,60歳～64歳,65歳～69歳,70歳～
北海道,392092,97798,71897,54055,46785,46810,49027,38299,30182,22997,19533,19983
青森県,92843,21191,16969,13881,12898,12509,12624,10473,8841,7330,6399,5409
岩手県,93777,20874,16711,13613,12322,12253,12439,10507,9353,8112,6878,5881
宮城県,192243,51736,35506,27706,23671,22312,22013,17338,13645,10962,9023,8053
秋田県,64968,14279,11919,10186,9711,9686,8938,7706,6807,6002,5062,4416
山形県,84176,19569,15052,12014,10372,9617,9181,7741,6585,5574,4842,4591
福島県,147802,33682,27858,22156,19044,17991,17818,14531,12483,10969,9288,8605
茨城県,239980,61299,48545,36897,31295,30021,32106,24531,17553,13835,12008,12827
栃木県,161992,38108,32472,25117,21398,20523,21210,16013,11777,9704,8465,8811
群馬県,161515,40949,32192,23694,20247,20012,21518,16045,11877,9345,8528,10659
埼玉県,614862,168939,126579,91002,76630,77111,89280,67490,45154,30242,26671,32209
千葉県,522345,143991,105260,75278,64555,63202,71461,54693,37668,25933,22405,27531
東京都,1081149,324118,270472,184275,144695,131202,142787,118745,88251,58674,50449,73892
神奈川県,767751,222772,163848,111465,92064,89195,103248,84999,59247,37951,31864,41748
新潟県,174096,41372,32565,26140,22227,21826,22390,18879,15014,12549,10993,10473
富山県,82773,21031,16728,11909,10043,10402,11156,7909,5510,3971,3541,3700
石川県,98191,27168,17559,11979,9938,9964,10825,7915,5634,4074,3360,3447
福井県,67013,15585,12435,8976,7032,6590,6713,4883,3867,2906,2491,2284
山梨県,67481,17263,12852,9279,7695,7278,7938,6690,5130,3905,3553,4007
長野県,171440,37207,31355,22639,18974,19372,20772,16496,12268,9176,7632,8644
岐阜県,171286,41048,30126,21886,17586,17477,18789,13820,9601,6583,5462,6050
静岡県,306429,71156,60887,44830,36701,35437,39455,31594,23908,18021,15452,17468
愛知県,684038,180935,139533,93428,74287,70442,78539,59172,40602,26741,22385,26867
三重県,150216,35732,28708,19979,16077,15286,16534,12613,8855,6308,5178,5863
滋賀県,135627,34525,23382,16303,12969,11705,12031,8531,5799,4113,3413,3587
京都府,212749,65246,39207,27290,22523,22255,24398,18541,12984,8787,7979,11049
大阪府,733164,197975,135340,90683,72782,71490,85596,67097,46179,30656,28425,40882
兵庫県,469674,108856,77086,54443,45115,43939,48445,37119,26347,18897,16628,20406
奈良県,111223,28126,18077,13138,10960,10325,11223,8311,5539,3782,3203,3740
和歌山県,74275,15959,12610,9498,7884,7588,8307,6442,4748,3635,3286,4431
鳥取県,47741,10151,7586,6123,5764,5321,5256,4005,3311,2744,2335,2049
島根県,57500,11236,9057,6849,5835,6046,6065,4592,3854,3566,3132,3234
岡山県,165457,39601,28019,19876,16660,16025,17272,12496,8982,6890,5647,6539
広島県,245063,58175,42876,30103,24058,23824,26560,19897,14155,10175,9054,10180
山口県,108498,24626,17357,13264,11717,11610,12470,9298,7271,6085,5620,6456
徳島県,56638,12684,9649,7792,6895,6469,6297,4723,3744,3273,3011,3280
香川県,81800,16543,13233,9973,8359,8380,8604,6414,4544,3635,3172,3462
愛媛県,108704,21535,17289,12995,11200,11179,11874,9059,7224,5972,5398,5930
高知県,53461,11816,8586,6905,6578,6624,6856,5050,4484,3986,3793,5185
福岡県,463679,107677,72397,52835,45153,42255,43244,33487,24870,19680,17852,18949
佐賀県,75421,14894,11255,8323,7230,6869,6545,5369,4409,3762,3220,2699
長崎県,113596,21079,16237,12249,10708,10231,10607,9062,7974,7286,6297,5869
熊本県,158192,31184,22875,17098,14837,13630,13358,10805,9305,8382,7140,6999
大分県,94858,19608,14892,11346,10190,9915,9509,7409,5886,4984,4399,4257
宮崎県,95952,16197,12864,9450,8172,7964,7933,6489,5625,5208,4442,4239
鹿児島県,143237,23594,18136,13997,12066,11242,11396,9887,9333,9327,8328,7893
沖縄県,165744,30521,23321,17441,14089,13136,13679,11213,9531,9300,8292,8144
